User's manual r01uh0980ej0120-rl78g16; Version 1.00; March 13, 2024
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
SPIE0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
WREL0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
LREL0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
IICE0,14.3.2 IICA control register 00 (IICCTL00),Figure14-6.FormatofIICAControlRegister00(IICCTL00)(1/4),2,,
IICCTL01,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),,,
DFC0,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
SMC0,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
DAD0,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
CLD0,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
WUP0,14.3.5 IICA control register 01 (IICCTL01),Figure14-9.FormatofIICAControlRegister01(IICCTL01)(1/2),2,,
IICWL0,14.3.6 IICA low-level width setting register 0 (IICWL0),Figure14-10.FormatofIICALow-LevelWidthSettingRegister0(IICWL0),,,
IICWH0,14.3.7 IICA high-level width setting register 0 (IICWH0),Figure14-11.FormatofIICAHigh-LevelWidthSettingRegister0(IICWH0),,,
SVA0,14.2 Configuration of Serial Interface IICA,Figure 14-4. Format of Slave Address Register 0 (SVA0),,,
CRCD,20.3.1 CRC operation (general-purpose CRC),Figure20-2.FormatofCRCDataRegister(CRCD),,,
TSSEL0,"4.3.7 Touch pin function select registers 0, 1 (TSSEL0, TSSEL1)","Figure4-7.FormatofTouchPinFunctionSelectRegisters0,1(TSSEL0,TSSEL1)",,PORT FUNCTIONS,
TSSEL0,"15.3.20 Touch pin function select registers 0, 1 (TSSEL0, TSSEL1)","Figure15-23.FormatofTouchPinFunctionSelectRegisters0,1(TSSEL0,TSSEL1)",,CAPACITIVE TOUCH SENSING UNIT (CTSUb),
TSSEL1,"4.3.7 Touch pin function select registers 0, 1 (TSSEL0, TSSEL1)","Figure4-7.FormatofTouchPinFunctionSelectRegisters0,1(TSSEL0,TSSEL1)",,PORT FUNCTIONS,
TSSEL1,"15.3.20 Touch pin function select registers 0, 1 (TSSEL0, TSSEL1)","Figure15-23.FormatofTouchPinFunctionSelectRegisters0,1(TSSEL0,TSSEL1)",,CAPACITIVE TOUCH SENSING UNIT (CTSUb),
VTSEL,4.3.8 TSCAP pin setting register (VTSEL),Figure4-8.FormatofTSCAPPinSettingRegister(VTSEL),,PORT FUNCTIONS,
VTSEL,15.3.21 TSCAP pin setting register (VTSEL),Figure15-24.FormatofTSCAPPinSettingRegister(VTSEL),,CAPACITIVE TOUCH SENSING UNIT (CTSUb),
SUBCUD,7.3.13 Clock error correction register (SUBCUD),Figure7-14.FormatofClockErrorCorrectionRegister(SUBCUD),,,
CTSUCR0,15.3.2 CTSU control register 0 (CTSUCR0),Figure15-5.FormatofCTSUControlRegister0(CTSUCR0)(1/3),,,
CTSUSTRT,15.3.2 CTSU control register 0 (CTSUCR0),Figure15-5.FormatofCTSUControlRegister0(CTSUCR0)(1/3),8,,
CTSUINIT,15.3.2 CTSU control register 0 (CTSUCR0),Figure15-5.FormatofCTSUControlRegister0(CTSUCR0)(1/3),2,,
CTSUCR1,15.3.3 CTSU control register 1 (CTSUCR1),Figure15-6.FormatofCTSUControlRegister1(CTSUCR1),,,
CTSUSDPRS,15.3.4 CTSU synchronous noise reduction setting register (CTSUSDPRS),Figure15-7.FormatofCTSUSynchronousNoiseReductionSettingRegister(CTSUSDPRS),,,
CTSUSST,15.3.5 CTSU sensor stabilization wait control register (CTSUSST),Figure15-8.FormatofCTSUSensorStabilizationWaitControlRegister(CTSUSST),,,
CTSUMCH0,15.3.6 CTSU measurement channel register 0 (CTSUMCH0),Figure15-9.FormatofCTSUMeasurementChannelRegister0(CTSUMCH0),,,
CTSUMCH1,15.3.7 CTSU measurement channel register 1 (CTSUMCH1),Figure15-10.FormatofCTSUMeasurementChannelRegister1(CTSUMCH1),,,
CTSUCHAC0,15.3.8 CTSU channel enable control register 0 (CTSUCHAC0),Figure15-11.FormatofCTSUChannelEnableControlRegister0(CTSUCHAC0)(1/2),,,
CTSUCHAC1,15.3.9 CTSU channel enable control register 1 (CTSUCHAC1),Figure15-12.FormatofCTSUChannelEnableControlRegister1(CTSUCHAC1)(1/2),,,
CTSUCHTRC0,15.3.10 CTSU channel transmit/receive control register 0 (CTSUCHTRC0),Figure15-13.FormatofCTSUChannelTransmit/ReceiveControlRegister0(CTSUCHTRC0)(1/2),,,
CTSUCHTRC1,15.3.11 CTSU channel transmit/receive control register 1 (CTSUCHTRC1),Figure15-14.FormatofCTSUChannelTransmit/ReceiveControlRegister1(CTSUCHTRC1)(1/2),,,
CTSUDCLKC,15.3.12 CTSU high-pass noise reduction control register (CTSUDCLKC),Figure15-15.FormatofCTSUHigh-PassNoiseReductionControlRegister(CTSUDCLKC),,,
CTSUST,15.3.13 CTSU status register (CTSUST),Figure15-16.FormatofCTSUStatusRegister(CTSUST),,,
CTSUSSC,15.3.14 CTSU high-pass noise reduction spectrum diffusion control register (CTSUSSC),Figure15-17.FormatofCTSUHigh-PassNoiseReductionSpectrumDiffusionControlRegister(CTSUSSC),,,
CTSUSO0,15.3.15 CTSU sensor offset register 0 (CTSUSO0),Figure15-18.FormatofCTSUSensorOffsetRegister0(CTSUSO0),,,
CTSUSO1,15.3.16 CTSU sensor offset register 1 (CTSUSO1),Figure15-19.FormatofCTSUSensorOffsetRegister1(CTSUSO1)(1/2),,,
CTSUSC,15.3.17 CTSU sensor counter (CTSUSC),Figure15-20.FormatofCTSUSensorCounter(CTSUSC),,,
CTSURC,15.3.18 CTSU reference counter (CTSURC),Figure15-21.FormatofCTSUReferenceCounter(CTSURC),,,
CTSUERRS,15.3.19 CTSU error status register (CTSUERRS),Figure15-22.FormatofCTSUErrorStatusRegister(CTSUERRS)(1/3),,,
RTRIM,15.3.22 CTSU trimming register (RTRIM),Figure15-25.FormatofCTSUTrimmingRegister(RTRIM),,,
CTSUTRESULT,15.3.23 CTSU trimming result register (CTSUTRESULT),Figure15-26.FormatofCTSUTrimmingResultRegister(CTSUTRESULT),,,
P0,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P1,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P2,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P4,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P6,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P12,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
P13,"4.3.2 Port registers 0, 1, 2, 4, 6, 12, 13 (P0, P1, P2, P4, P6, P12, P13)","Figure4-2.FormatofPortRegisters0,1,2,4,6,12,13(P0,P1,P2,P4,P6,P12,P13)",,,
SDR00,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
TXD0,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SIO00,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SDR01,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
RXD0,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
TDR00,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR01,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR01L,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR01H,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
ADCR,11.3.4 10-bit A/D conversion result register (ADCR),Figure11-7.StoringoftheA/DConversionResultintheCaseof10-bitResolution,,,
ADCRH,11.3.5 8-bit A/D conversion result register (ADCRH),Figure11-8.Formatof8-bitA/DConversionResultRegister(ADCRH),,,
PM0,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
PM1,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
PM2,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
PM4,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
PM6,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
PM12,"4.3.1 Port mode registers 0, 1, 2, 4, 6, 12 (PM0, PM1, PM2, PM4, PM6, PM12)","Figure4-1.FormatofPortModeRegisters0,1,2,4,6,12(PM0,PM1,PM2,PM4,PM6,PM12)",,,
ADM0,11.3.2 A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),,,
ADCE,11.3.2 A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),3,,
ADCS,11.3.2 A/D converter mode register 0 (ADM0),Figure11-3.FormatofA/DConverterModeRegister0(ADM0),2,,
ADS,11.3.6 Analog input channel specification register (ADS),Figure11-9.FormatofAnalogInputChannelSpecificationRegister(ADS),,A/D CONVERTER,
ADS,20.3.7 Testing of the A/D converter,Figure20-13.FormatofAnalogInputChannelSpecificationRegister(ADS),,SAFETY FUNCTIONS,
EGP0,"16.3.4 External interrupt rising edge enable register (EGP0, EGP1), external interrupt falling edge enable register (EGN0, EGN1)","Figure16-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0,EGP1)andExternalInterruptFallingEdgeEnableRegister(EGN0,EGN1)",,,
EGN0,"16.3.4 External interrupt rising edge enable register (EGP0, EGP1), external interrupt falling edge enable register (EGN0, EGN1)","Figure16-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0,EGP1)andExternalInterruptFallingEdgeEnableRegister(EGN0,EGN1)",,,
EGP1,"16.3.4 External interrupt rising edge enable register (EGP0, EGP1), external interrupt falling edge enable register (EGN0, EGN1)","Figure16-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0,EGP1)andExternalInterruptFallingEdgeEnableRegister(EGN0,EGN1)",,,
EGN1,"16.3.4 External interrupt rising edge enable register (EGP0, EGP1), external interrupt falling edge enable register (EGN0, EGN1)","Figure16-5.FormatofExternalInterruptRisingEdgeEnableRegister(EGP0,EGP1)andExternalInterruptFallingEdgeEnableRegister(EGN0,EGN1)",,,
SDR02,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
TXD1,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SDR03,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SIO11,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
RXD1,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SDR10,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
TXD2,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SIO20,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
SDR11,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
RXD2,13.3.5 Serial data register mn (SDRmn),Figure13-9.FormatofSerialDataRegistermn(SDRmn),,,
IICA0,14.2 Configuration of Serial Interface IICA,Figure 14-3. Format of IICA Shift Register 0 (IICA0),,,
IICS0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),,,
SPD0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
STD0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
ACKD0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
TRC0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
COI0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
EXC0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
ALD0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),3,,
MSTS0,14.3.3 IICA status register 0 (IICS0),Figure14-7.FormatofIICAStatusRegister0(IICS0)(1/3),2,,
IICF0,14.3.4 IICA flag register 0 (IICF0),Figure14-8.FormatofIICAFlagRegister0(IICF0)(1/2),,,
IICRSV0,14.3.4 IICA flag register 0 (IICF0),Figure14-8.FormatofIICAFlagRegister0(IICF0)(1/2),3,,
STCEN0,14.3.4 IICA flag register 0 (IICF0),Figure14-8.FormatofIICAFlagRegister0(IICF0)(1/2),5,,
IICBSY0,14.3.4 IICA flag register 0 (IICF0),Figure14-8.FormatofIICAFlagRegister0(IICF0)(1/2),2,,
STCF0,14.3.4 IICA flag register 0 (IICF0),Figure14-8.FormatofIICAFlagRegister0(IICF0)(1/2),2,,
COMPMDR,12.3.2 Comparator Mode Setting Register (COMPMDR),Figure12-3.FormatofComparatorModeSettingRegister(COMPMDR),,,
C0ENB,12.3.2 Comparator Mode Setting Register (COMPMDR),Figure12-3.FormatofComparatorModeSettingRegister(COMPMDR),2,,
C0MON,12.3.2 Comparator Mode Setting Register (COMPMDR),Figure12-3.FormatofComparatorModeSettingRegister(COMPMDR),2,,
C1ENB,12.3.2 Comparator Mode Setting Register (COMPMDR),Figure12-3.FormatofComparatorModeSettingRegister(COMPMDR),2,,
C1MON,12.3.2 Comparator Mode Setting Register (COMPMDR),Figure12-3.FormatofComparatorModeSettingRegister(COMPMDR),2,,
COMPFIR,12.3.3 Comparator Filter Control Register (COMPFIR),Figure12-4.FormatofComparatorFilterControlRegister(COMPFIR),,,
COMPOCR,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),,,
C0IE,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
C0OE,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
C0OP,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
C1IE,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
C1OE,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
C1OP,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
SPDMD,12.3.4 Comparator Output Control Register (COMPOCR),Figure12-5.FormatofComparatorOutputControlRegister(COMPOCR),2,,
TDR02,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR03,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR03L,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR03H,6.2.2 Timer data register mn (TDRmn),"Figure6-9.FormatofTimerDataRegistermn(TDRmn)(n=1,3)",,,
TDR04,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR05,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR06,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
TDR07,6.2.2 Timer data register mn (TDRmn),"Figure6-8.FormatofTimerDataRegistermn(TDRmn)(n=0,2,4to7)",,,
ITMC,8.3.3 Interval timer control register (ITMC),Figure8-4.FormatofIntervalTimerControlRegister(ITMC),,,
SEC,7.3.6 Second count register (SEC),Figure7-7.FormatofSecondCountRegister(SEC),,,
MIN,7.3.7 Minute count register (MIN),Figure7-8.FormatofMinuteCountRegister(MIN),,,
HOUR,7.3.8 Hour count register (HOUR),Figure7-9.FormatofHourCountRegister(HOUR),,,
WEEK,7.3.10 Day-of-week count register (WEEK),Figure7-11.FormatofDateCountRegister(WEEK),,,
DAY,7.3.9 Date count register (DAY),Figure7-10.FormatofDay-of-weekCountRegister(DAY),,,
MONTH,7.3.11 Month count register (MONTH),Figure7-12.FormatofMonthCountRegister(MONTH),,,
YEAR,7.3.12 Year count register (YEAR),Figure7-13.FormatofYearCountRegister(YEAR),,,
ALARMWM,7.3.14 Alarm minute register (ALARMWM),Figure7-15.FormatofAlarmMinuteRegister(ALARMWM),,,
ALARMWH,7.3.15 Alarm hour register (ALARMWH),Figure7-16.FormatofAlarmHourRegister(ALARMWH),,,
ALARMWW,7.3.16 Alarm day-of-week register (ALARMWW),Figure7-17.FormatofAlarmDay-of-WeekRegister(ALARMWW),,,
RTCC0,7.3.4 Real-time clock control register 0 (RTCC0),Figure7-5.FormatofReal-timeClockControlRegister0(RTCC0)(1/2),,,
RCLOE1,7.3.4 Real-time clock control register 0 (RTCC0),Figure7-5.FormatofReal-timeClockControlRegister0(RTCC0)(1/2),2,,
RTCE,7.3.4 Real-time clock control register 0 (RTCC0),Figure7-5.FormatofReal-timeClockControlRegister0(RTCC0)(1/2),2,,
RTCC1,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),,,
RWAIT,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),8,,
RWST,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),4,,
RIFG,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),6,,
WAFG,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),7,,
RITE,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),3,,
WALIE,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),4,,
WALE,7.3.5 Real-time clock control register 1 (RTCC1),Figure7-6.FormatofReal-timeClockControlRegister1(RTCC1)(1/3),2,,
CMC,5.3.1 Clock operation mode control register (CMC),Figure5-2.FormatofClockOperationModeControlRegister(CMC),,,
CSC,5.3.3 Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),,,
HIOSTOP,5.3.3 Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
XTSTOP,5.3.3 Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
MSTOP,5.3.3 Clock operation status control register (CSC),Figure5-4.FormatofClockOperationStatusControlRegister(CSC),2,,
OSTC,5.3.4 Oscillation stabilization time counter status register (OSTC),Figure5-5.FormatofOscillationStabilizationTimeCounterStatusRegister(OSTC),,,
OSTS,5.3.5 Oscillation stabilization time select register (OSTS),Figure5-6.FormatofOscillationStabilizationTimeSelectRegister(OSTS),,,
CKC,5.3.2 System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),,,
MCM0,5.3.2 System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
MCS,5.3.2 System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CSS,5.3.2 System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CLS,5.3.2 System clock control register (CKC),Figure5-3.FormatofSystemClockControlRegister(CKC),2,,
CKS0,9.3.1 Clock output select register 0 (CKS0),Figure9-2.FormatofClockOutputSelectRegister0(CKS0),,,
PCLOE0,9.3.1 Clock output select register 0 (CKS0),Figure9-2.FormatofClockOutputSelectRegister0(CKS0),2,,
RESF,18.3.1 Reset Control Flag Register (RESF),Figure18-4.FormatofResetControlFlagRegister(RESF),,,
WDTE,10.3.1 Watchdog timer enable register (WDTE),Figure10-2.FormatofWatchdogTimerEnableRegister(WDTE),,,
CRCIN,20.3.1 CRC operation (general-purpose CRC),Figure20-1.FormatofCRCInputRegister(CRCIN),,,
IF2,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
PIF7,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF8,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
PIF9,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CMPIF0,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CMPIF1,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CTSUWRIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CTSURDIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
CTSUFNIF,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",1,,XXIFX
IF2L,"16.3.1 Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L)","Figure16-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)",,,
MK2,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
PMK7,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK8,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
PMK9,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CMPMK0,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CMPMK1,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CTSUWRMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CTSURDMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
CTSUFNMK,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",1,,XXMKX
MK2L,"16.3.2 Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure16-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)",,,
PR02,"16.3.3 Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)",Figure16-4.FormatofPrioritySpecificationFlagRegisters,,,
